"","SVM_LABEL","SVM_PROB","SLDA_LABEL","SLDA_PROB","LOGITBOOST_LABEL","LOGITBOOST_PROB","BAGGING_LABEL","BAGGING_PROB","FORESTS_LABEL","FORESTS_PROB","TREE_LABEL","TREE_PROB","CONSENSUS_CODE","CONSENSUS_AGREE","PROBABILITY_CODE"
"25710","2",0.901223748082209,"2",0.996440283087165,"2",0.982013790037908,"2",1,"2",0.925,"2",0.9,2,6,2
"25711","2",0.905861043989786,"2",0.975159120623829,"2",0.880797077977882,"2",1,"2",0.945,"2",0.9,2,6,2
"25712","2",0.468239030262987,"2",0.894936307652061,"2",0.5,"2",0.56,"2",0.495,"2",0.551020408163265,2,6,2
"25713","4",0.698106302922076,"2",0.682042760744477,"4",0.5,"4",0.76,"2",0.415,"4",0.5875,4,4,4
"25714","2",0.923701677195334,"2",0.881460675006716,"2",0.982013790037908,"2",1,"2",0.78,"2",0.9,2,6,2
"25715","2",0.726044695903118,"2",0.987441129502165,"2",0.880797077977882,"2",1,"2",0.85,"2",0.9,2,6,2
"25716","2",0.892283256376452,"2",0.99153593487003,"2",0.982013790037908,"2",0.68,"2",0.775,"2",0.9,2,6,2
"25717","2",0.891279227858699,"2",0.995154216531508,"2",0.880797077977882,"2",1,"2",0.95,"2",0.9,2,6,2
"25718","2",0.869965417577249,"2",0.991755806105733,"2",0.880797077977882,"2",0.92,"2",0.845,"2",0.9,2,6,2
"25719","2",0.94325942190673,"2",0.997840927766031,"2",0.880797077977882,"2",0.68,"2",0.66,"2",0.551020408163265,2,6,2
"25720","2",0.64894548247563,"2",0.883705893993712,"2",0.5,"2",0.88,"2",0.79,"2",0.9,2,6,2
"25721","2",0.621503108914214,"2",0.66244209949036,"1",0.119202922022118,"4",0.36,"2",0.535,"4",0.5875,2,3,2
"25722","2",0.794868981828785,"2",0.977169545049746,"2",0.880797077977882,"2",0.96,"2",0.805,"2",0.9,2,6,2
"25723","2",0.840161172635669,"2",0.786428084203197,"2",0.880797077977882,"2",0.72,"2",0.75,"2",0.9,2,6,2
"25724","2",0.900062313449735,"2",0.992916748547762,"2",0.880797077977882,"2",0.96,"2",0.875,"2",0.9,2,6,2
"25725","2",0.746933913669883,"2",0.764926884486451,"2",0.5,"2",0.64,"2",0.71,"2",0.9,2,6,2
"25726","2",0.928991900853825,"2",0.983939211789768,"2",0.880797077977882,"2",1,"2",0.91,"2",0.9,2,6,2
"25727","2",0.939043441778515,"2",0.989565691290836,"2",0.880797077977882,"2",0.96,"2",0.945,"2",0.9,2,6,2
"25728","2",0.921578342029063,"2",0.922961311299416,"2",0.5,"2",0.64,"2",0.605,"2",0.551020408163265,2,6,2
"25729","2",0.93153553356156,"2",0.978579184582082,"2",0.880797077977882,"2",0.96,"2",0.715,"2",0.9,2,6,2
"25730","2",0.757284332569468,"2",0.994578054432912,"2",0.880797077977882,"2",0.96,"2",0.85,"2",0.9,2,6,2
"25731","3",0.755457409459052,"3",0.987891900299835,"3",0.5,"3",1,"3",0.86,"3",0.873015873015873,3,6,3
"25732","2",0.9189145407486,"2",0.997936238109654,"2",0.982013790037908,"2",1,"2",0.94,"2",0.9,2,6,2
"25733","2",0.844314618209999,"2",0.994151366574816,"2",0.880797077977882,"2",1,"2",0.83,"2",0.9,2,6,2
"25734","3",0.57137618551454,"3",0.970545189102163,"3",0.880797077977882,"3",0.84,"3",0.685,"3",0.873015873015873,3,6,3
"25735","2",0.811737888567937,"2",0.974054685274616,"2",0.880797077977882,"2",0.92,"2",0.87,"2",0.9,2,6,2
"25736","2",0.919482904899427,"2",0.997508593916984,"2",0.880797077977882,"2",0.84,"2",0.7,"2",0.551020408163265,2,6,2
"25737","2",0.854366312407625,"2",0.996647399320977,"2",0.880797077977882,"2",1,"2",0.995,"2",0.9,2,6,2
"25738","2",0.749543721080355,"2",0.995220591452815,"2",0.880797077977882,"2",1,"2",0.91,"2",0.9,2,6,2
"25739","2",0.493034996610795,"2",0.938984435238804,"3",0.5,"1",0.6,"2",0.455,"2",0.551020408163265,2,4,2
"25740","2",0.859894775879102,"2",0.978463349018516,"2",0.5,"2",0.76,"2",0.505,"2",0.551020408163265,2,6,2
"25741","3",0.753609070715354,"3",0.886991631269836,"3",0.5,"3",1,"3",0.765,"3",0.873015873015873,3,6,3
"25742","3",0.871383340541373,"3",0.841468083712254,"3",0.880797077977882,"3",1,"3",0.755,"3",0.873015873015873,3,6,3
"25743","2",0.682238656818892,"2",0.998554391810929,"2",0.880797077977882,"2",0.8,"2",0.695,"2",0.9,2,6,2
"25744","3",0.855890400923809,"3",0.70070691414273,"3",0.5,"3",0.84,"3",0.825,"3",0.873015873015873,3,6,3
"25745","2",0.931487761160696,"2",0.991015182661169,"2",0.982013790037908,"2",1,"2",0.935,"2",0.9,2,6,2
"25746","2",0.630664152027994,"2",0.936266670815354,"2",0.880797077977882,"2",0.92,"2",0.825,"2",0.9,2,6,2
"25747","3",0.544517448174303,"3",0.987609306538489,"3",0.5,"3",0.84,"3",0.765,"3",0.873015873015873,3,6,3
"25748","3",0.583881516659177,"3",0.998024990777881,"3",0.880797077977882,"2",0.52,"3",0.525,"3",0.873015873015873,3,5,3
"25749","3",0.709297870214085,"3",0.971883800951084,"3",0.5,"3",0.88,"3",0.71,"3",0.873015873015873,3,6,3
"25750","2",0.61292940658758,"3",0.542903051264443,"3",0.119202922022118,"3",0.76,"3",0.625,"3",0.873015873015873,3,5,3
"25751","3",0.843983426421553,"3",0.997922645688394,"3",0.880797077977882,"3",0.8,"3",0.815,"3",0.873015873015873,3,6,3
"25752","3",0.488836815286466,"3",0.994202044269783,"3",0.5,"3",1,"3",0.635,"3",0.873015873015873,3,6,3
"25753","2",0.913027671752053,"2",0.704898744904026,"2",0.880797077977882,"3",0.64,"2",0.435,"2",0.551020408163265,2,5,2
