"","SVM_LABEL","SVM_PROB","SLDA_LABEL","SLDA_PROB","MAXENTROPY_LABEL","MAXENTROPY_PROB","LOGITBOOST_LABEL","LOGITBOOST_PROB","BAGGING_LABEL","BAGGING_PROB","FORESTS_LABEL","FORESTS_PROB","NNETWORK_LABEL","NNETWORK_PROB","TREE_LABEL","TREE_PROB","MANUAL_CODE","CONSENSUS_CODE","CONSENSUS_AGREE","CONSENSUS_INCORRECT","PROBABILITY_CODE","PROBABILITY_INCORRECT"
"82","2",0.942203229480482,"2",1,"2",0.999650716711871,"2",0.999993855825398,"2",1,"2",0.98,"2",0.99970287164307,"2",1,2,2,8,0,2,0
"83","3",0.929015053969332,"3",1,"3",0.955137802046682,"3",0.999999168471972,"3",1,"2",0.575,"3",0.991348872925017,"3",1,3,3,7,0,3,0
"84","2",0.937163143324717,"2",1,"2",0.999999974753126,"2",0.999999887464838,"2",1,"2",0.905,"2",0.999679309248649,"2",1,2,2,8,0,2,0
"85","2",0.940656099501832,"2",1,"2",0.999989307100621,"2",0.999993855825398,"2",1,"2",0.965,"2",0.999681604731377,"2",1,2,2,8,0,2,0
"86","2",0.897923973910115,"2",1,"2",0.905746034054924,"2",0.999664649869534,"2",0.84,"2",0.775,"2",0.998929640984207,"2",1,2,2,8,0,2,0
"87","3",0.910512006773369,"3",1,"3",0.962788614078688,"3",0.999954602131298,"3",0.96,"2",0.59,"3",0.995575984737868,"3",0.695652173913043,3,3,7,0,3,0
"88","2",0.94107765897793,"2",1,"2",0.999999992036579,"2",0.999993855825398,"2",1,"2",1,"2",0.999747822189674,"2",1,2,2,8,0,2,0
"89","3",0.735270752097415,"1",1,"2",0.98877785057418,"3",0.999999984770021,"3",0.88,"2",0.565,"1",0.98523231519822,"3",0.695652173913043,3,3,4,0,1,1
"90","2",0.920460724024675,"2",1,"2",0.968034849097293,"2",0.999954602131298,"2",1,"2",0.89,"2",0.999513910264137,"2",1,2,2,8,0,2,0
"91","2",0.857702213245592,"2",1,"2",0.909933706889926,"2",0.880797077977882,"2",0.88,"2",0.785,"2",0.980239241975532,"2",0.769230769230769,2,2,8,0,2,0
"92","2",0.942702831347223,"2",1,"2",0.999999687347096,"2",0.999664649869534,"2",1,"2",0.98,"2",0.999734817675153,"2",1,2,2,8,0,2,0
"93","3",0.874135790367307,"1",0.99999999999998,"3",0.993572626790849,"3",0.999954602131298,"3",1,"2",0.51,"3",0.989198621292763,"3",1,3,3,6,0,3,0
"94","2",0.897906948501811,"2",1,"1",0.377393939396147,"2",0.999664649869534,"2",1,"2",0.875,"2",0.99757260741263,"2",1,2,2,7,0,2,0
"95","3",0.890736208470246,"3",1,"3",0.997566770561652,"3",0.999999887464838,"3",1,"3",0.51,"3",0.995254270734513,"3",0.695652173913043,2,3,8,1,3,1
"96","2",0.946803519411776,"2",1,"2",0.999949712853775,"2",0.999999168471972,"2",1,"2",0.945,"2",0.999687838974957,"2",1,2,2,8,0,2,0
"97","2",0.896268923596685,"2",1,"2",0.985041454326251,"2",0.999999168471972,"2",1,"2",0.835,"2",0.99783985997686,"2",1,2,2,8,0,2,0
"98","2",0.947056467411777,"2",1,"2",0.999758646486604,"2",0.999993855825398,"2",1,"2",0.96,"2",0.999736178256999,"2",1,2,2,8,0,2,0
"99","2",0.950978123618661,"2",1,"2",0.999999999824484,"2",0.999999168471972,"2",1,"2",0.97,"2",0.999752661101762,"2",1,2,2,8,0,2,0
"100","2",0.91407575266231,"2",1,"2",0.999999999985882,"2",0.999999984770021,"2",0.64,"2",0.875,"2",0.999729599300384,"2",1,2,2,8,0,2,0
"101","2",0.565824709535527,"1",1,"2",0.999965733786145,"2",0.999999984770021,"2",0.72,"2",0.74,"2",0.997776390860608,"3",1,3,2,6,1,1,1
