"","Asylum.seekers...refugees","CP.rights...general","Civil.society","Corruption","Counter.terrorism","Death.penalty","Detention","Development","Disabilities","ESC.rights...general","Elections","Enforced.disappearances","Environment","Extrajudicial.executions","Freedom.of.association.and.peaceful.assembly","Freedom.of.movement","Freedom.of.opinion.and.expression","Freedom.of.religion.and.belief","Freedom.of.the.press","General","HIV...Aids","Human.rights.defenders","Human.rights.education.and.training","Human.rights.violations.by.state.agents","Impunity","Indigenous.peoples","Internally.displaced.persons","International.humanitarian.law","International.instruments","Justice","Labour","Migrants","Minorities","NHRI","National.plan.of.action","Other","Poverty","Public.security","Racial.discrimination","Right.to.education","Right.to.food","Right.to.health","Right.to.housing","Right.to.land","Right.to.water","Rights.of.the.Child","Sexual.Orientation.and.Gender.Identity","Special.procedures","Technical.assistance.and.cooperation","Torture.and.other.CID.treatment","Trafficking","Treaty.bodies","UPR.process","Women.s.rights"
"BRA",0.0514820592823713,0.0425531914893617,0.00380228136882129,0.00444444444444444,0.0193548387096774,0.0318655851680185,0.0267358339984038,0.00128040973111396,0.018854242204496,0.0206440957886045,0.0163265306122449,0.0206812652068127,0,0.00819672131147541,0.00698324022346369,0.0288461538461538,0.0106035889070147,0.0106609808102345,0.00817160367722165,0.0532646048109966,0.0368852459016393,0.0145867098865478,0.0111042566317088,0.0103986135181976,0.0159574468085106,0.0144736842105263,0.0176470588235294,0.0115740740740741,0.0318081722534867,0.0178051149239236,0.0194013303769401,0.0245573957738435,0.0199778024417314,0.0055286800276434,0.0163398692810458,0.0200222469410456,0.0194954128440367,0.0075187969924812,0.0318181818181818,0.0102933607822954,0.0470588235294118,0.0115321252059308,0.00873362445414847,0.0177514792899408,0.0178571428571429,0.0269360269360269,0.0230263157894737,0.0489236790606654,0.0180904522613065,0.0377544320420223,0.00958247775496235,0.0142140468227425,0.0116504854368932,0.0260774087290694
"BUL",0.0046801872074883,0.00303951367781155,0.00253485424588086,0,0,0.00173812282734647,0.00159616919393456,0.00256081946222791,0.00145032632342277,0.000825763831544178,0.00408163265306122,0,0,0,0,0,0.00163132137030995,0.00213219616204691,0.00102145045965271,0,0,0,0.00123380629241209,0,0,0.00263157894736842,0.00588235294117647,0.00462962962962963,0.00134573036457059,0.000323729362253156,0.00221729490022173,0.000571102227298686,0.00221975582685905,0.00621976503109883,0.00163398692810458,0,0.00114678899082569,0,0.0012987012987013,0.00514668039114771,0.00392156862745098,0.000823723228995058,0.00436681222707424,0.00591715976331361,0,0.00204948031034988,0,0.00130463144161774,0,0.00196979645436638,0,0.00250836120401338,0.00388349514563107,0.00164699423552018
"CAM",0,0,0,0,0,0,0,0.0115236875800256,0.00362581580855693,0.00578034682080925,0,0,0,0,0,0,0,0.00213219616204691,0,0.00515463917525773,0.00409836065573771,0,0.00431832202344232,0,0,0,0,0,0.00122339124051872,0.000323729362253156,0.00277161862527716,0.00114220445459737,0.00554938956714761,0,0.0163398692810458,0.00222469410456062,0.0194954128440367,0,0.0012987012987013,0.00205867215645908,0,0.000823723228995058,0,0,0,0.00175669740887132,0,0,0.0050251256281407,0,0.0102669404517454,0,0.00194174757281553,0.00288223991216031
"CAN",0.0436817472698908,0.0364741641337386,0.0633713561470216,0.0711111111111111,0.0129032258064516,0.0156431054461182,0.0478850758180367,0.00384122919334187,0.0166787527193619,0.0123864574731627,0.0897959183673469,0.0072992700729927,0.00609756097560976,0.0614754098360656,0.085195530726257,0.0480769230769231,0.0823817292006525,0.0522388059701493,0.0888661899897855,0.00343642611683849,0.0450819672131148,0.0502431118314425,0.0475015422578655,0.0797227036395147,0.0265957446808511,0.0184210526315789,0.0647058823529412,0.0324074074074074,0.0196965989723514,0.0427322758174166,0.0210643015521064,0.0171330668189606,0.0327413984461709,0.0221147201105736,0.0163398692810458,0.0233592880978865,0.00344036697247706,0.0338345864661654,0.0292207792207792,0.0144107050952136,0.0156862745098039,0.00823723228995058,0.0305676855895196,0.0591715976331361,0.0119047619047619,0.0273752012882448,0.0888157894736842,0.0195694716242661,0.00603015075376884,0.0236375574523966,0.027378507871321,0.0267558528428094,0.0135922330097087,0.0360966236618172
"CAP",0,0.00303951367781155,0,0,0,0.00115874855156431,0.0019952114924182,0,0,0.00247729149463253,0,0.0024330900243309,0,0.00409836065573771,0,0,0,0.00319829424307036,0,0.00343642611683849,0,0,0.00123380629241209,0.00173310225303293,0.00265957446808511,0.00789473684210526,0,0.00231481481481481,0.00195742598482995,0.00194237617351894,0.00443458980044346,0.00342661336379212,0.00388457269700333,0.00138217000691085,0.00163398692810458,0,0.00229357798165138,0,0.000649350649350649,0.00154400411734431,0,0.000823723228995058,0,0.00591715976331361,0,0.00292782901478554,0,0.000652315720808871,0,0.00393959290873276,0.00136892539356605,0.000836120401337793,0,0.00192149327477354
"CDI",0.0078003120124805,0.00303951367781155,0.00126742712294043,0.0133333333333333,0,0.000579374275782155,0.000798084596967279,0.00640204865556978,0.00290065264684554,0.000825763831544178,0.00408163265306122,0,0.0121951219512195,0.00409836065573771,0,0,0.000815660685154976,0.00106609808102345,0.00102145045965271,0.00171821305841924,0,0,0.000616903146206046,0.00173310225303293,0.00265957446808511,0.00263157894736842,0.0176470588235294,0.00462962962962963,0.00207976510888182,0.00129491744901263,0.000554323725055432,0.00342661336379212,0.00332963374028857,0.00414651002073255,0.00326797385620915,0.00444938820912125,0.00458715596330275,0.0112781954887218,0.00324675324675325,0.00257334019557385,0.00784313725490196,0.00247116968698517,0.00436681222707424,0,0.00595238095238095,0.00161030595813205,0,0.00521852576647097,0.0100502512562814,0.00196979645436638,0.00205338809034908,0.00585284280936455,0.0155339805825243,0.00233324183365358
"CHA",0.0046801872074883,0.00151975683890578,0,0,0,0.000579374275782155,0.000798084596967279,0.00128040973111396,0.000725163161711385,0.00165152766308836,0,0,0,0,0.00418994413407821,0,0,0.00106609808102345,0.00102145045965271,0.013745704467354,0,0.00162074554294976,0.00308451573103023,0,0,0.00131578947368421,0,0.00231481481481481,0.00526058233423049,0.000647458724506313,0.00609756097560976,0.00513992004568818,0.000554938956714761,0.00138217000691085,0.00163398692810458,0.00556173526140156,0.00344036697247706,0,0.0038961038961039,0.00308800823468863,0,0.000823723228995058,0,0,0,0.000731957253696384,0,0.00521852576647097,0.0180904522613065,0.00196979645436638,0.00136892539356605,0.0100334448160535,0.00194174757281553,0.000686247598133406
"CHL",0.015600624024961,0.0364741641337386,0.0126742712294043,0.00444444444444444,0,0.0266512166859791,0.0183559457302474,0.00128040973111396,0.0210297316896302,0.00660611065235343,0.00408163265306122,0.0316301703163017,0.00609756097560976,0.00819672131147541,0.00977653631284916,0.0192307692307692,0.0195758564437194,0.00959488272921109,0.0143003064351379,0,0.0122950819672131,0.0129659643435981,0.00616903146206046,0.00346620450606586,0.00531914893617021,0.00394736842105263,0.0470588235294118,0.0277777777777778,0.0220210423293369,0.0178051149239236,0.0144124168514412,0.0177041690462593,0.0166481687014428,0.0110573600552868,0.011437908496732,0.0111234705228031,0.00688073394495413,0.0150375939849624,0.0123376623376623,0.0108080288214102,0.0274509803921569,0.0107084019769358,0.0218340611353712,0.00591715976331361,0.0238095238095238,0.0202020202020202,0.0164473684210526,0.0313111545988258,0.014070351758794,0.0246224556795798,0.00616016427104723,0.0376254180602007,0,0.0188031841888553
"CHN",0.0031201248049922,0,0.00253485424588086,0,0.00645161290322581,0,0.000798084596967279,0.0793854033290653,0.0137781000725163,0.0222956234516928,0,0,0.0121951219512195,0,0,0,0,0.00639658848614072,0,0.00515463917525773,0.0122950819672131,0,0.00185070943861814,0.00173310225303293,0,0.00921052631578947,0.00588235294117647,0,0.00207976510888182,0.00161864681126578,0.00443458980044346,0.00742432895488292,0.0122086570477248,0.000691085003455425,0.011437908496732,0.00556173526140156,0.0607798165137615,0.0112781954887218,0.011038961038961,0.0164693772516727,0.00784313725490196,0.0197693574958814,0.0262008733624454,0,0.0178571428571429,0.00483091787439614,0,0.00130463144161774,0.014070351758794,0.000328299409061064,0.000684462696783025,0.00250836120401338,0.0058252427184466,0.0065879769420807
"COL",0,0,0.00506970849176172,0,0,0,0.000399042298483639,0,0.0050761421319797,0.000825763831544178,0.00408163265306122,0.0024330900243309,0,0,0.00139664804469274,0,0.00163132137030995,0,0.00306435137895812,0.00171821305841924,0.00819672131147541,0.00810372771474878,0.00123380629241209,0,0,0.00394736842105263,0.0117647058823529,0,0.000611695620259359,0.00226610553577209,0.00277161862527716,0.00456881781838949,0.00554938956714761,0.00138217000691085,0.00490196078431373,0.00222469410456062,0.00229357798165138,0.0037593984962406,0.00584415584415584,0.00154400411734431,0.00392156862745098,0.00741350906095552,0.00436681222707424,0,0,0.00248865466256771,0.0153508771929825,0,0,0,0.00136892539356605,0,0.0155339805825243,0.00452923414768048
"CON",0.0031201248049922,0.00303951367781155,0,0,0.00645161290322581,0,0,0,0.00145032632342277,0.00247729149463253,0,0,0,0,0,0.00961538461538462,0.000815660685154976,0,0.00102145045965271,0,0,0,0.00185070943861814,0,0,0.00526315789473684,0.0117647058823529,0.00231481481481481,0.00122339124051872,0.000971188086759469,0.00332594235033259,0.00171330668189606,0.00332963374028857,0.0027643400138217,0,0.00333704115684093,0.00229357798165138,0.0112781954887218,0.0012987012987013,0.00257334019557385,0.00392156862745098,0.00247116968698517,0,0.00591715976331361,0.00595238095238095,0.00234226321182843,0,0.00130463144161774,0.00804020100502513,0,0.00205338809034908,0.00167224080267559,0.00194174757281553,0.00205874279440022
"COS",0,0.00455927051671732,0.00126742712294043,0,0.00645161290322581,0.00695249130938586,0.0155626496408619,0.00256081946222791,0.0203045685279188,0.0074318744838976,0,0.0072992700729927,0.00609756097560976,0.0122950819672131,0.00558659217877095,0,0.00244698205546493,0.00106609808102345,0.00306435137895812,0,0.00409836065573771,0,0.013571869216533,0.0121317157712305,0.0132978723404255,0.00921052631578947,0,0.00925925925925926,0.0118668950330316,0.0100356102298478,0.00498891352549889,0.00114220445459737,0.00554938956714761,0.00691085003455425,0.0065359477124183,0.00333704115684093,0.00229357798165138,0.0075187969924812,0.00714285714285714,0.00823468862583634,0.00392156862745098,0.00329489291598023,0,0,0,0.0081979212413995,0,0.0117416829745597,0.00301507537688442,0.020682862770847,0.00752908966461328,0.0100334448160535,0.00776699029126214,0.00548998078506725
"CUB",0,0.00151975683890578,0.00506970849176172,0.0177777777777778,0.0451612903225806,0.000579374275782155,0.00359138068635275,0.0998719590268886,0.0130529369108049,0.032204789430223,0,0.0024330900243309,0.0365853658536585,0.0122950819672131,0.00139664804469274,0.0288461538461538,0.00163132137030995,0.00426439232409382,0,0.0206185567010309,0.0368852459016393,0.00162074554294976,0.00123380629241209,0.00519930675909879,0.00797872340425532,0.00921052631578947,0.00588235294117647,0.0138888888888889,0.00232444335698556,0.00161864681126578,0.00388026607538803,0.0085665334094803,0.0133185349611543,0.000691085003455425,0.00490196078431373,0.0244716351501669,0.055045871559633,0.018796992481203,0.0181818181818182,0.0530108080288214,0.0313725490196078,0.0947281713344316,0.0131004366812227,0.0118343195266272,0,0.00746596398770312,0,0.000652315720808871,0.00804020100502513,0.00196979645436638,0.00205338809034908,0.00167224080267559,0,0.00768597309909415
"CYP",0,0,0.00126742712294043,0.00444444444444444,0,0.00231749710312862,0.0019952114924182,0.00128040973111396,0.00217548948513416,0.00165152766308836,0,0.00121654501216545,0,0,0.00139664804469274,0,0.00163132137030995,0.00213219616204691,0.00204290091930541,0.00343642611683849,0,0,0.00308451573103023,0.0121317157712305,0.00531914893617021,0,0.00588235294117647,0.00694444444444444,0.00183508686077808,0.00258983489802525,0.000554323725055432,0.00114220445459737,0.00277469478357381,0,0.00490196078431373,0,0,0,0.000649350649350649,0.000514668039114771,0,0.000823723228995058,0,0,0,0.00161030595813205,0,0.000652315720808871,0,0.00328299409061064,0.0027378507871321,0,0.00194174757281553,0.00192149327477354
"CZR",0.046801872074883,0.0227963525835866,0.0240811153358682,0.00888888888888889,0.0193548387096774,0.0115874855156431,0.0642458100558659,0,0.00652646845540247,0.00330305532617671,0.0693877551020408,0.00608272506082725,0,0.0450819672131148,0.0516759776536313,0.0480769230769231,0.0448613376835237,0.0138592750533049,0.0500510725229826,0.00343642611683849,0.0368852459016393,0.059967585089141,0.040715607649599,0.0519930675909879,0.0292553191489362,0.00789473684210526,0.0470588235294118,0.00925925925925926,0.0195742598482995,0.0191000323729362,0.00221729490022173,0.00228440890919475,0.0216426193118757,0.0055286800276434,0.00163398692810458,0.0111234705228031,0,0.0112781954887218,0.012987012987013,0.00617601646937725,0.00392156862745098,0.00329489291598023,0.00436681222707424,0,0,0.014785536524667,0.0668859649122807,0.0234833659491194,0.00201005025125628,0.051543007222587,0.00479123887748118,0.0125418060200669,0.00970873786407767,0.0153719461981883
"DEN",0.0046801872074883,0.00303951367781155,0.00760456273764259,0,0,0.00347624565469293,0.0211492418196329,0.00128040973111396,0.00145032632342277,0.00165152766308836,0,0,0,0.0163934426229508,0.00698324022346369,0,0.00734094616639478,0.0127931769722814,0.0102145045965271,0.00343642611683849,0,0.00648298217179903,0.00308451573103023,0.024263431542461,0.0132978723404255,0.025,0,0.00694444444444444,0.00880841693173477,0.00647458724506313,0.0016629711751663,0.000571102227298686,0.00943396226415094,0.00967519004837595,0.00490196078431373,0.00222469410456062,0,0,0.00779220779220779,0.00154400411734431,0,0.000823723228995058,0.00873362445414847,0.0177514792899408,0.00595238095238095,0.00307422046552481,0.0087719298245614,0.00978473581213307,0.00100502512562814,0.0292186474064347,0.00136892539356605,0.00752508361204013,0.00388349514563107,0.00329398847104035
